Annotation of K4/K36 DHMSs for 18795 RefSeq genes. Expression data retrieved from in Mikkelson et.al. (2007),,,,,,,,,
,,,,,,,,,
RefSeq ID,symbol,chrom,txStart,txEnd,strand,K4 DHMS,K36 DHMS,expression in ESC,expression in NPC
NM_028014,2310067B10Rik,chr15,101504062,101508323,-,None,None,22.04800297,29.18468395
NM_029667,2310069N01Rik,chr4,48146018,48207604,+,None,None,NA,NA
NM_001025586,2310073E15Rik,chr12,81086387,81179156,-,ES,None,463.657435,164.3528396
NM_025874,2310076L09Rik,chr10,80229784,80232419,+,ES,None,5.002943799,4.972019398
NM_144801,2310076O21Rik,chr11,82768296,82779136,+,ES,None,NA,NA
NM_030208,2310079F23Rik,chr6,117899177,117902954,-,None,None,20.72879163,13.34613582
NM_025636,2310079N02Rik,chr12,71856511,71880887,+,ES,ES,84.30451582,7.977136578
NM_025605,2400001E08Rik,chr7,102514068,102515022,+,None,None,521.4073062,687.7432799
NM_028018,2400003C14Rik,chr8,23593827,23631945,-,None,None,205.795848,211.0727169
NM_178622,2400003N08Rik,chr6,129498884,129508024,+,None,None,NA,NA
NM_021329,2400006H24Rik,chr1,66933724,66972073,-,ES,None,1998.352844,1259.794243
NM_027186,2400006N03Rik,chr15,101621343,101630366,-,None,None,NA,NA
NM_029624,2400010G15Rik,chr2,162634905,162665963,+,None,None,NA,NA
NM_025542,2410001C21Rik,chr3,75602415,75642726,-,None,None,611.1211679,370.7088347
NM_183137,2410002I01Rik,chr15,101391376,101401938,-,None,None,4.862964632,4.815324041
NM_025879,2410002O22Rik,chr17,36870787,36871715,-,None,None,482.4351371,543.7297829
NM_018888,2410003P15Rik,chr3,97775235,97974112,-,None,None,108.0248186,91.8922897
NM_025890,2410004A20Rik,chr12,99077791,99135644,-,ES,None,220.3448351,7.131721843
NM_025555,2410004B18Rik,chr4,58136849,58300650,-,None,None,1276.972744,1600.430914
NM_001082581,2410004F06Rik,chr11,82818371,82837005,-,ES,ES,NA,NA
NM_029621,2410004L22Rik,chr8,23539160,23590598,-,None,None,186.3483447,150.1182709
NM_146183,2410005H09Rik,chr7,102532643,102533591,+,None,None,NA,NA
NM_025476,2410005O16Rik,chr5,48677750,49177805,-,None,None,230.1095671,351.0448793
NM_028022,2410008K03Rik,chr1,183652017,183679007,-,ES,None,679.1934094,22.68141161
NM_175403,2410014A08Rik,chr6,66964673,66966985,-,None,None,351.1779049,578.3545745
NM_028036,2410015B03Rik,chr2,26204808,26211325,-,None,None,NA,NA
NM_153152,2410015M20Rik,chr2,180105780,180155267,-,None,None,3294.419419,4247.678422
NM_023203,2410015N17Rik,chr7,102543742,102544716,+,None,None,3563.179703,3056.594005
NM_026113,2410016F19Rik,chr14,64940896,64963320,-,None,None,1135.760902,2264.80502
NM_023633,2410016O06Rik,chr1,180791720,181354678,-,ES,None,487.3741413,173.9801653
NM_026643,2410017P07Rik,chr14,55212927,55216331,-,None,None,NA,NA
NM_178390,2410018C17Rik,chr6,118073073,118104759,-,None,None,NA,NA
NM_026423,2410018C20Rik,chr12,86161508,86169538,-,ES,None,613.7482029,308.4370599
NM_029354,2410018G20Rik,chr2,30645108,30650309,-,None,None,NA,NA
NM_028362,2410018L13Rik,chr17,25101887,25161368,-,None,None,NA,NA
NM_183088,2410018M08Rik,chr6,125127470,125131202,-,None,None,203.0154264,13.92726536
NM_001081094,2410019A14Rik,chr4,134203055,134209613,+,None,None,NA,NA
NM_025556,2410022L05Rik,chr12,21569999,21620081,-,ES,None,753.2006646,632.5090858
NM_029654,2410024A21Rik,chr17,87341743,87355169,-,None,None,6.407406355,6.499765559
NM_028596,2410025L10Rik,chr11,101873108,101904592,-,ES,None,31.8723862,28.80065604
NM_024254,2410042D21Rik,chr3,122721208,122848174,+,None,None,960.4455829,680.1812199
NM_026629,2410066E13Rik,chr7,44717268,44723452,+,None,None,4.759660471,4.719249057
NM_028604,2410075D05Rik,chr14,55185511,55188727,-,None,None,NA,NA
NM_028603,2410081M15Rik,chr5,30864750,30901851,+,None,ES,782.942784,45.1082275
NM_028611,2410091C18Rik,chr2,31709289,31768544,+,None,None,NA,NA
NM_133691,2410104I19Rik,chr19,6053629,6057751,-,None,None,2712.059401,3431.622434
NM_026630,2410116G06Rik,chr11,30829783,30854131,-,ES,ES,NA,NA
NM_001039566,2410125J01Rik,chr18,38393065,38410375,-,None,None,NA,NA
NM_029741,2410127E16Rik,chr7,102572060,102573028,+,None,None,25.66527976,16.39529234
NM_029742,2410127E18Rik,chr7,27314617,27348210,+,None,None,150.0876294,329.4122172
NM_026120,2410127L17Rik,chr3,51476344,51484438,-,None,None,4932.429459,2453.623284
NM_175245,2410129H14Rik,chr18,37056258,37313631,+,None,None,968.6450198,937.7042398
NM_001081236,2410131K14Rik,chr6,54967578,55009081,+,None,None,66.16832454,40.63907052
NM_029747,2410137M14Rik,chr10,127804344,127812745,-,ES,ES,7.608357402,6.835857672
NM_183119,2410141K09Rik,chr17,36887553,36888471,-,None,None,NA,NA
NM_026480,2410146L05Rik,chr12,116927841,117718802,+,ES,None,1530.051874,4.867579922
NM_029759,2410166I05Rik,chr5,114624572,114641470,-,None,None,636.3483169,713.9958879
NM_029734,2410187C16Rik,chr19,11317647,11333196,-,None,None,NA,NA
NM_029736,2410193C02Rik,chr8,88526692,88581114,-,None,None,NA,NA
NM_146103,2500001K11Rik,chr13,43796174,43814102,+,None,None,NA,NA
NM_025607,2500002L14Rik,chr7,45009883,45022580,-,None,None,14.43838521,13.38993173
NM_023215,2500003M10Rik,chr4,128789924,128810863,+,None,None,NA,NA
NM_001033164,2510002D24Rik,chr10,99445511,99530099,+,ES,None,148.1179837,14.59017472
NM_028197,2510003E04Rik,chr14,55083638,55086664,-,None,None,1382.28713,1308.695167
NM_026527,2510006C20Rik,chr15,101712384,101720954,-,None,None,NA,NA
NM_029748,2510006D16Rik,chr5,130429590,130440511,+,None,None,NA,NA
NM_001001881,2510009E07Rik,chr1,194874365,194877024,+,NP,NP,4.695361155,750.7845959
NM_027381,2510012J08Rik,chr14,55071689,55074696,-,None,None,448.0781878,410.3731418
NM_025637,2510027J23Rik,chr4,132525242,132535142,-,None,None,4.54029886,4.511923244
NM_029841,2510039O18Rik,chr5,69388419,69620844,-,None,None,476.4635566,295.5262792
NM_028235,2510042P03Rik,chr3,19418068,19457108,-,None,None,NA,NA
NM_025977,2510048L02Rik,chr9,44355892,44387760,+,None,None,NA,NA
NM_026455,2510049I19Rik,chr8,110182990,110268645,+,None,None,NA,NA
NM_027411,2600001J17Rik,chr15,101774037,101782321,-,None,None,NA,NA
NM_027373,2600003E23Rik,chr6,88164308,88172670,+,None,None,NA,NA
NM_028244,2600005C20Rik,chr2,68662395,68912129,+,None,None,778.256328,139.7055899
NM_197995,2600005N12Rik,chr15,101824744,101832376,-,None,None,129.0859924,253.6177037
NM_183089,2600005O03Rik,chr19,11029337,11041715,-,None,None,626.0980794,636.4546737
NM_029832,2600009E05Rik,chr3,81122342,81299957,+,None,None,413.5522004,1302.851786
NM_001083810,2600010E01Rik,chr3,141147390,141149742,-,None,None,22.76678754,41.38321241
NM_027349,2600011C06Rik,chr17,45093785,45122890,-,None,None,1721.855047,806.1772602
NM_028113,2600011E07Rik,chr18,37131293,37313631,+,None,None,4.861194551,4.925483031
NM_178620,2600014M03Rik,chr15,101177604,101198159,-,None,None,NA,NA
NM_001081099,2610002D18Rik,chr11,3883715,3899315,+,ES,None,659.0894725,277.5616083
NM_001033134,2610002J02Rik,chr5,76214972,76260125,-,None,None,NA,NA
NM_025921,2610002M06Rik,chrX,56570074,56750596,-,None,None,114.3079438,133.5456181
NM_028101,2610003J06Rik,chr10,58818316,58837136,-,ES,None,59.33680091,33.66097058
NM_001004362,2610008E11Rik,chr14,55159334,55165478,-,None,None,73.78992527,118.125397
NM_026988,2610009E16Rik,chr7,66269846,66306401,-,None,None,NA,NA
NM_023536,2610012O22Rik,chr5,31198475,31207826,+,None,None,NA,NA
NM_027930,2610016C23Rik,chr14,55110652,55113650,-,None,None,NA,NA
NM_133729,2610018G03Rik,chrX,34560893,34581339,+,None,None,145.9287871,6.142050943
NM_027394,2610018I03Rik,chr9,121559086,121561619,+,None,None,25.64467355,44.41149767
NM_028126,2610019A05Rik,chr15,81491190,81515560,+,None,None,128.7131786,103.0525586
NM_173744,2610019F03Rik,chr12,82477431,82487322,-,ES,ES,132.6623021,5.455505883
NM_178612,2610019P18Rik,chr6,28366700,28371734,-,None,None,328.4849469,923.3941335
NM_028130,2610020C11Rik,chr6,83081163,83084554,+,None,None,238.3397073,147.9976237
NM_028129,2610020H08Rik,chr7,102576143,102585875,+,None,None,74.52061275,29.0456344
NM_025937,2610020O08Rik,chrX,69755805,69823725,+,None,None,319.4096825,242.273367
NM_030172,2610021K21Rik,chr17,73211345,73304178,-,None,None,16.29899717,14.96790714
NM_028135,2610024A01Rik,chr1,85125369,85149592,-,ES,None,NA,NA
NM_146084,2610024E20Rik,chr10,81024916,81030687,-,ES,None,NA,NA
NM_019836,2610024G14Rik,chr6,122571021,122575690,-,None,None,215.6666909,464.498886
NM_172145,2610027C15Rik,chr11,115824446,115828809,-,ES,None,699.9994592,6.27081876
NM_026403,2610027L16Rik,chr18,37136831,37313631,+,None,None,966.1069059,469.1883562
NM_028228,2610028A01Rik,chr18,37146203,37313631,+,None,None,NA,NA
NM_029816,2610028H24Rik,chr14,55119867,55128667,-,None,None,5.740195835,5.991504453
NM_026312,2610029G23Rik,chrX,70549865,70557411,+,None,None,3831.124444,2709.042362
NM_001081356,2610030H06Rik,chrX,11744828,11773924,+,None,None,223.9540043,827.9171003
NM_029278,2610033H07Rik,chr6,87008483,87054005,+,None,None,NA,NA
NM_027420,2610034B18Rik,chr7,102597352,102598309,-,None,None,26.48200744,17.79505745
NM_027001,2610034M16Rik,chr2,157997933,158024292,+,None,None,NA,NA
NM_029282,2610036D13Rik,chr3,142180043,142333004,-,None,None,685.0403717,231.5119427
NM_029281,2610036F08Rik,chr2,25504734,25508090,+,None,None,NA,NA
NM_025642,2610039C10Rik,chr2,126899844,126931891,+,None,None,NA,NA
NM_030176,2610039E05Rik,chr12,82338397,82340726,-,ES,None,NA,NA
NM_027263,2610040C18Rik,chr5,142716404,142731189,+,None,None,NA,NA
NM_025575,2610042O14Rik,chr3,96915530,96956330,+,None,None,37.55272436,139.7584314
NM_153780,2610044O15Rik,chr2,25599025,25602286,+,None,None,NA,NA
NM_026476,2610101N10Rik,chr12,8700688,8776346,+,ES,None,3614.831099,1878.850883
NM_027426,2610109H07Rik,chr5,75856720,75938416,+,None,None,3.715207882,3.676349713
NM_028476,2610110G12Rik,chr2,25312854,25315920,-,None,None,9.85117031,59.21191674
NM_183220,2610203E10Rik,chr3,85660055,85740397,+,None,None,22.07021009,39.93316757
NM_025997,2610204K14Rik,chr7,102626803,102627748,-,None,None,2263.426121,2420.105949
NM_026009,2610204L23Rik,chr15,98308434,98310717,-,None,None,506.1093231,1055.56012
NM_198411,2610204M08Rik,chr1,95066302,95126854,+,ES,ES,NA,NA
NM_170592,2610205E22Rik,chr3,96721036,96730129,+,None,None,NA,NA
NM_026047,2610206B13Rik,chr18,37065291,37313631,+,None,None,19.94954089,217.6313644
NM_001031814,2610207I05Rik,chr7,102648346,102649291,+,None,None,363.0613323,289.243443
NM_181732,2610208M17Rik,chr8,108948731,109019666,+,None,None,NA,NA
NM_026010,2610209A20Rik,chr7,102677300,102678251,+,None,None,144.0177557,158.433749
NM_025665,2610209M04Rik,chr7,126586383,126590331,-,None,None,NA,NA
NM_026005,2610301B20Rik,chr5,151221077,151262190,+,None,None,208.646364,227.6449839
NM_001025576,2610301F02Rik,chr3,33142160,33274578,-,None,NP,11.1033757,186.561574
NM_027434,2610304G08Rik,chr3,57929824,57935466,-,None,None,352.5162494,267.4635264
NM_145078,2610305D13Rik,chr5,65627545,65663138,+,None,None,NA,NA
NM_028263,2610306H15Rik,chr3,58704228,58725136,-,None,None,NA,NA
NM_026934,2610312B22Rik,chr3,92100538,92117506,+,None,None,NA,NA
NM_181589,2610318C08Rik,chr3,90812878,90826437,+,None,None,NA,NA
NM_183287,2610318N02Rik,chr10,79970249,79980425,-,ES,ES,846.6841538,129.3830061
NM_001002004,2610507B11Rik,chr15,34182614,34228884,+,None,None,939.937801,1237.159124
NM_026620,2610510H03Rik,chr3,31097686,31160279,-,None,None,3005.001004,3896.491023
NM_028131,2610510J17Rik,chr8,87597703,87690445,-,None,None,411.275092,291.7053882
NM_025596,2610524G07Rik,chr17,42020266,42074797,-,None,None,NA,NA
NM_181075,2610524H06Rik,chr6,72343841,72360216,+,None,None,NA,NA
NM_025599,2610528E23Rik,chr2,31292278,31342679,+,None,None,720.9632793,789.0313297
NM_025572,2610528J11Rik,chr11,57461636,57603693,+,ES,None,152.6895141,3.788248305
NM_175184,2610528K11Rik,chr3,41677743,41713406,+,None,NP,89.88052705,136.6212606
NM_025952,2610529C04Rik,chrX,102230035,102327636,+,None,None,NA,NA
NM_001025102,2700007P21Rik,chr3,98398575,98425374,-,None,None,411.3973029,622.6485817
NM_145432,2700008B19Rik,chr15,99563625,99600549,-,None,None,160.5486342,179.159369
NM_028287,2700019D07Rik,chr14,25827245,25829207,+,None,None,130.3742949,182.7203332
NM_025598,2700038C09Rik,chr3,104097318,104136549,+,None,None,NA,NA
NM_027356,2700038N03Rik,chr11,101815744,101843045,-,ES,None,97.26135479,105.4204424
NM_175382,2700049P18Rik,chr13,64204579,64284140,-,None,NP,245.2430133,965.8789056
NM_028291,2700050F09Rik,chr6,55305939,55317897,+,None,None,NA,NA
NM_178115,2700050L05Rik,chr7,102730142,102731092,-,None,None,381.22974,243.9525908
NM_026481,2700055K07Rik,chr12,82295839,82298334,-,ES,None,55.96119955,8.151456394
NM_001007589,2700059D21Rik,chr5,65082657,65109264,+,None,None,4428.073936,4329.300435
NM_028300,2700059L22Rik,chr9,109929496,109960758,-,None,None,NA,NA
NM_026528,2700060E02Rik,chr18,37072180,37313631,+,None,None,8863.746773,6364.116257
NM_026529,2700062C07Rik,chr10,39765178,39831671,-,ES,ES,NA,NA
NM_001008506,2700069A02Rik,chr17,24216382,24236505,+,None,None,NA,NA
NM_030197,2700078E11Rik,chr3,106813042,106864630,+,None,None,38.01404387,37.67002255
NM_028308,2700078K21Rik,chr7,102750942,102751882,+,None,None,NA,NA
NM_175381,2700081O15Rik,chr3,135285444,135330469,+,None,None,45.87323021,478.014835
NM_001029890,2700083E18Rik,chr11,120777830,120807423,-,ES,None,332.9118387,525.6707687
NM_027422,2700087H15Rik,chr14,63776327,63903957,-,None,None,NA,NA
NM_178625,2700094F01Rik,chr7,97246819,97267347,+,None,None,751.9493942,406.8339177
NM_001033166,2700094K13Rik,chr3,96781873,96791367,+,None,None,6163.856624,3238.517761
NM_028314,2700097O09Rik,chr17,31341354,31365851,-,None,None,NA,NA
NM_027323,2810002G02Rik,chr6,113681895,113685657,-,None,None,11.21632154,11.14966358
NM_172414,2810002I04Rik,chr1,135431427,135437809,-,ES,None,5.853272017,5.722261956
NM_026511,2810002N01Rik,chr17,88438586,88496691,+,None,None,1170.512628,571.0016345
NM_175179,2810002O09Rik,chrX,102000335,102132091,-,None,None,66.53757385,122.1992785
NM_145144,2810003C17Rik,chr3,152651485,152726397,+,None,NP,166.9461337,364.6573247
NM_025615,2810004N23Rik,chr8,109946005,109948374,+,None,None,2078.441105,634.0306406
NM_028310,2810006K23Rik,chr6,48668632,48673380,+,None,None,4.803595064,4.798291646
NM_175250,2810007J24Rik,chr7,102761028,102761972,-,None,None,NA,NA
NM_001048250,2810008M24Rik,chr17,66011088,66020046,+,None,None,2707.979984,2436.709254
NM_175104,2810012G03Rik,chr2,144247717,144282182,+,None,None,196.3580585,419.4280239
NM_025479,2810021B07Rik,chr17,10246369,10683549,-,None,None,472.591113,295.3287954
NM_172403,2810021J22Rik,chr1,130112309,130155864,-,ES,None,62.46413782,14.90759096
NM_144882,2810022L02Rik,chr13,17500875,17590144,-,None,NP,8.669371897,15.30948803
NM_028317,2810030E01Rik,chr3,32627754,32654379,+,None,None,5.654699935,5.543741721
NM_172859,2810039F03Rik,chr3,95060139,95091993,+,None,None,8.9287565,10.53666868
NM_173382,2810046L04Rik,chr4,131546488,131565401,+,None,None,290.0933111,308.0416303
NM_001081441,2810046M22Rik,chr11,105108735,105167235,+,ES,ES,26.30760343,5.202998041
NM_133746,2810048G17Rik,chr10,126425280,126433763,-,ES,None,5.032572634,4.874602861
NM_026038,2810055F11Rik,chr1,8352594,9284944,-,ES,None,14.39012636,25.73694829
NM_080561,2810055G22Rik,chr6,48694050,48700437,-,None,None,244.4920965,243.3202151
NM_175178,2810401C16Rik,chr10,111376893,111391193,+,ES,None,NA,NA
NM_001082412,2810402A17Rik,chrX,5256712,5258895,-,None,None,4.801751753,14.67919449
NM_028814,2810403A07Rik,chr4,114557458,114569687,+,None,None,584.7270841,507.8295911
NM_133747,2810405J04Rik,chr2,25522082,25525335,+,None,None,2085.533406,2076.867706
NM_025582,2810405K02Rik,chr11,116097028,116100005,+,ES,None,302.2598444,4.427414721
NM_146171,2810406C15Rik,chr7,30017512,30023063,+,None,None,NA,NA
NM_001040396,2810407C02Rik,chr4,53800804,53807985,+,None,None,2373.888607,3076.88015
NM_027419,2810408A11Rik,chr15,84381163,84385589,-,None,None,19.25858945,6.069720911
NM_001007581,2810408M09Rik,chr3,95145004,95192262,-,None,None,NA,NA
NM_025942,2810409H07Rik,chr3,129191939,129211610,+,None,None,NA,NA
NM_175471,2810410C14Rik,chr5,65410805,65432767,+,None,None,4.797814736,4.821703227
NM_024428,2810410M20Rik,chr2,32206645,32209748,-,None,None,8132.92379,3297.998141
NM_026515,2810417H13Rik,chr9,50414984,50480205,-,None,None,2931.774623,9281.370495
NM_029798,2810417J12Rik,chr10,78420452,78421412,+,ES,None,NA,NA
NM_027275,2810422B04Rik,chr7,80931112,80979124,+,None,None,NA,NA
NM_027279,2810422O20Rik,chr13,101803571,101831180,-,None,None,193.6239619,100.0193086
NM_023363,2810426N06Rik,chr7,102774189,102775126,+,None,None,5.647627472,5.609144633
NM_025577,2810428I15Rik,chr12,113991715,113994222,+,ES,None,NA,NA
NM_027278,2810432D09Rik,chr5,23610676,23670850,+,None,None,539.1421729,456.0811897
NM_025944,2810432L12Rik,chr5,104102351,104151531,-,None,None,30.05790402,414.5869063
NM_025581,2810433K01Rik,chr2,5788258,5812625,-,None,None,6.283325762,5.390615289
NM_197980,2810437L13Rik,chr6,48614163,48621647,+,None,None,NA,NA
NM_028341,2810439F02Rik,chr2,139921298,140081151,-,None,None,22.67524809,46.05548353
NM_026798,2810441K11Rik,chr3,64803635,64932694,-,None,None,188.9565658,176.8526599
NM_176835,2810451A06Rik,chr10,126669347,126684755,+,ES,None,29.09491752,8.455468694
NM_026048,2810452K22Rik,chr17,55552479,55561244,+,None,None,7.678500398,8.862307018
NM_133703,2810453I06Rik,chr6,48675782,48683784,+,None,None,106.4079837,117.482762
NM_176860,2810457I06Rik,chr9,50386864,50412010,-,None,NP,6.898650951,40.68683319
NM_028370,2810458H16Rik,chr2,25587577,25590108,+,None,None,NA,NA
NM_026054,2810474O19Rik,chr7,110563780,110603571,+,None,None,1625.172486,297.8334564
NM_176836,2810485I05Rik,chr9,54497695,54514449,+,None,None,1168.243303,1009.362868
NM_001080941,2810487A22Rik,chr17,27383270,27438695,+,None,None,NA,NA
NM_001081124,2900002G04Rik,chr13,97516832,97571859,-,ES,None,NA,NA
NM_021430,2900002H16Rik,chr6,48631168,48637830,-,None,None,NA,NA
NM_001013802,2900006F19Rik,chr3,7349676,7428436,+,None,None,39.27591341,58.22839212
NM_028377,2900006K08Rik,chr17,35125228,35139058,+,None,None,6.414410591,6.203457223
NM_026520,2900009I07Rik,chr3,90138868,90148374,+,None,None,7.424105327,8.651473627
NM_175190,2900010J23Rik,chr3,89222068,89232521,+,None,None,7356.014633,7828.150499
NM_026063,2900010M23Rik,chr2,26489682,26493291,-,None,None,3436.599306,4878.070057
NM_144518,2900011O08Rik,chr2,127030079,127049092,+,None,None,162.8963518,34.05335934
NM_026062,2900024C23Rik,chr6,48648206,48654220,+,None,None,156.024932,159.901901
NM_028372,2900024O10Rik,chr17,23463807,23467952,-,None,None,23.5713517,65.03882365
NM_172884,2900026A02Rik,chr11,84629257,84635710,-,ES,None,10.91747494,10.52980889
NM_182839,2900041A09Rik,chr17,45963793,46009577,-,None,None,5.911903502,7.214758863
NM_028394,2900042B11Rik,chr5,124010343,124082210,+,None,None,464.211583,1151.556724
NM_175189,2900042E01Rik,chr9,21175346,21257526,+,None,None,NA,NA
NM_133778,2900046G09Rik,chr10,77164301,77164972,+,ES,None,5.131217098,6.711780307
NM_145221,2900057D21Rik,chr18,37078662,37313631,+,None,None,NA,NA
NM_133749,2900064A13Rik,chr3,142730844,142819376,-,None,None,1087.421855,2782.990541
NM_026064,2900073G15Rik,chr2,25479963,25484239,+,None,None,8865.922767,9556.933987
NM_021403,2900083I11Rik,chr6,48576819,48590459,+,None,None,4.453362331,4.360119282
NM_001007570,2900084M01Rik,chr8,91411474,91482430,+,None,None,NA,NA
NM_028434,2900092C05Rik,chr7,102782689,102783658,-,None,None,6.438529998,6.273934001
NM_030240,2900092E17Rik,chr7,102801450,102802405,+,None,None,454.2448544,642.1779737
NM_021387,2900093B09Rik,chr7,102822287,102823328,+,None,None,7.151610057,8.491240194
NM_001001979,3000002B06Rik,chr2,124301736,124359210,+,None,None,NA,NA
NM_001004139,3000002G13Rik,chr7,102828484,102829441,-,None,None,11.35244597,11.50003888
NM_197959,3000004C01Rik,chr15,100297127,100307197,+,None,None,488.9981003,272.1044816
NM_028223,3010001K23Rik,chr6,48605720,48608290,+,None,None,NA,NA
NM_026543,3010026O09Rik,chr15,78753979,78757720,+,None,None,92.68388557,22.73209809
NM_133693,3100004P22Rik,chr7,102838922,102839861,+,None,None,4.202551292,4.167491204
NM_025626,3110001A13Rik,chr3,129870654,129887833,+,None,None,78.56104536,277.1122836
NM_025849,3110001D03Rik,chr5,3809194,3847363,+,None,None,1542.012935,2722.829898
NM_177608,3110001I20Rik,chr3,63784165,63938968,-,None,None,545.0933887,1561.730932
NM_025653,3110001I22Rik,chr2,153037579,153095447,+,None,None,134.8898117,252.9210336
NM_029389,3110001K24Rik,chr18,37086413,37313631,+,None,None,180.0394594,30.69232659
NM_029623,3110002H16Rik,chr2,4798835,4827826,+,None,None,7.679657768,6.8320463
NM_028440,3110003A17Rik,chr14,50996749,51025933,-,None,None,NA,NA
NM_026534,3110003A22Rik,chr5,31528296,31529778,+,None,None,234.0877175,215.3196431
NM_001033167,3110004L20Rik,chr17,10683741,11906716,+,None,None,63.41081917,264.3422233
NM_028427,3110005G23Rik,chr8,110301617,110314167,-,None,None,338.3931288,84.65244122
NM_028426,3110007F17Rik,chrX,70144821,70147146,+,None,None,NA,NA
NM_028439,3110009E18Rik,chr13,29332772,29863053,-,None,None,256.7067545,277.6886275
NM_152807,3110023B02Rik,chr15,78678116,78682784,-,None,None,NA,NA
NM_026075,3110031B13Rik,chr17,34200526,34205397,+,None,None,NA,NA
NM_028443,3110032G18Rik,chr6,87311286,87316549,-,None,None,5.418729852,6.876696036
NM_178399,3110035E14Rik,chr13,35667344,35881088,+,None,NP,4.718238851,5.442114819
NM_028457,3110037I16Rik,chr5,117675029,117816972,+,None,None,170.092428,253.9473561
NM_026077,3110040N11Rik,chr7,102846872,102847811,-,None,None,290.9600681,98.19205521
NM_028455,3110043J09Rik,chr10,126693758,126699233,+,ES,ES,153.083088,5.44723331
NM_001081343,3110043O21Rik,chr5,45781671,45800919,+,None,None,403.2778677,289.7689643
NM_001032413,3110045G13Rik,chr11,72999327,73015214,-,ES,None,NA,NA
NM_133750,3110048E14Rik,chr19,11684237,11690688,-,None,None,286.7545427,201.6687729
NM_026085,3110049J23Rik,chr14,53806940,53814695,-,None,None,9.225108505,8.450309007
NM_026083,3110050K21Rik,chr18,37093729,37313631,+,None,None,NA,NA
NM_173181,3110050N22Rik,chr4,147456181,147470796,-,None,None,474.1238445,130.6686055
NM_175195,3110056O03Rik,chr14,69289135,69308620,+,None,None,46.16271237,230.0599367
NM_026622,3110057O12Rik,chr4,150871713,150882368,-,None,None,NA,NA
NM_199145,3110062M04Rik,chr7,35295006,35347997,+,None,None,NA,NA
NM_026084,3110070M22Rik,chr17,53032243,53137649,+,None,None,11.78783846,10.91604249
NM_028469,3110082I17Rik,chr6,8459595,8547548,+,None,None,788.7583324,208.9853511
NM_027532,3200002M19Rik,chr7,102858041,102858983,-,None,None,97.63445152,63.44279522
NM_028713,3222401M22Rik,chr13,101859942,101876156,-,None,None,NA,NA
NM_025699,3230401D17Rik,chr3,28175386,28324307,+,None,None,1636.217725,1571.766029
NM_026140,3230401I01Rik,chr11,82796497,82808025,-,ES,None,NA,NA
NM_001081314,3300001A09Rik,chr12,30524087,30601911,+,ES,None,5.228801696,5.135369785
NM_030093,3300001G02Rik,chr15,7087755,7138433,+,None,None,1484.45067,1333.326751
NM_175113,3300001M20Rik,chr3,96074242,96081244,-,None,None,776.5610851,492.5685028
NM_026313,3300001P08Rik,chr15,99606541,99648106,-,None,None,371.1222138,587.1676715
NM_027017,3300002I08Rik,chr3,40896499,40913432,+,None,None,NA,NA
NM_029930,3321401G04Rik,chr7,92484061,92512227,-,None,NP,30.5533309,468.5036749
NM_023727,3322402L07Rik,chr13,105349336,105367515,+,None,None,6.205409285,6.101861923
NM_026142,3632451O06Rik,chr18,37099897,37313631,+,None,None,155.3428018,414.3522305
NM_001001980,3732412D22Rik,chr6,71223341,71232457,+,None,None,9.085727142,19.96988758
NM_028862,3732413I11Rik,chr15,98731954,98746132,-,None,None,1476.361937,3242.91118
NM_001001187,3830402I07Rik,chr17,15226537,15232264,-,None,None,NA,NA
NM_027510,3830403N18Rik,chrX,137927785,138084606,+,None,None,NA,NA
NM_146051,3830406C13Rik,chr10,39976874,39991588,-,ES,None,7.018800796,12.94628067
NM_027511,3830408D24Rik,chr5,134884892,134899650,-,None,None,NA,NA
NM_027512,3830417A13Rik,chrX,33039627,33076859,-,None,None,5.295568256,5.22664141
NM_173767,3830422K02Rik,chr7,102915301,102916260,+,None,None,NA,NA
NM_001079814,3930401K13Rik,chr2,73617362,73693467,-,None,None,NA,NA
NM_028722,4121402D02Rik,chr15,9067451,9124332,+,None,None,376.4933936,837.5302347
NM_198651,4430402I18Rik,chr3,132919858,133029046,-,None,None,NA,NA
NM_026486,4432405B04Rik,chr6,129732339,129741542,-,None,None,60.89759284,10.64624159
NM_028877,4432412L15Rik,chr12,88874055,88975197,+,ES,ES,NA,NA
NM_030069,4432416J03Rik,chr9,20657611,20703275,-,None,None,6.002617429,6.037062512
NM_153793,4631403P03Rik,chr2,121140668,121144867,+,None,None,4.864845572,4.792904525
NM_001081295,4631416L12Rik,chr4,138925613,138942353,+,None,NP,17.95009908,399.5958642
NM_001040397,4631422O05Rik,chr2,9973886,9998282,-,None,None,NA,NA
NM_025712,4631426E05Rik,chr10,59345031,59347127,-,ES,None,4.33704607,4.217653335
NM_133730,4631426H08Rik,chr15,100181233,100212469,+,None,None,NA,NA
NM_029935,4631426J05Rik,chr7,102925120,102926079,+,None,None,30.28899763,9.501266565
NM_021414,4631427C17Rik,chr7,119965024,119974863,+,None,None,253.2985924,583.8307289
NM_030167,4632404H22Rik,chrX,70543742,70548037,+,None,None,431.6610197,115.3097646
NM_172580,4632408A20Rik,chr1,158264784,158311005,-,ES,None,NA,NA
NM_172652,4632411B12Rik,chr13,49475995,49664668,-,None,None,292.8716548,246.6237035
NM_175279,4632411J06Rik,chr11,34964880,35551735,+,ES,None,11.14674674,10.10172243
