"DHMS regions identified for K27, K4, and K36",,,,,
,,,,,
"K27, ESC enriched","K27, NPC enriched","K4, ESC enriched","K4, NPC enriched","K36, ESC enriched","K36, NPC enriched"
chr3:157502000-157505000,chr13:27983000-27986000,chr2:25443000-25445000,chr5:112840000-112841000,chr10:7293000-7296000,chr9:13417000-13431000
chr3:158495000-158499000,chr13:39040000-39043000,chr2:25685000-25686000,chr5:124444000-124445000,chr10:12175000-12176000,chr9:13448000-13463000
chr3:159774000-159777000,chr13:39238000-39251000,chr2:25699000-25701000,chr5:135772000-135773000,chr10:18539000-18548000,chr9:15474000-15492000
chr4:3605000-3612000,chr13:39527000-39532000,chr2:25875000-25878000,chr5:138565000-138566000,chr10:19847000-19852000,chr9:15713000-15722000
chr4:6916000-6919000,chr13:39615000-39623000,chr2:25954000-25956000,chr5:138686000-138687000,chr10:19860000-19881000,chr9:15748000-15754000
chr4:9770000-9775000,chr13:39626000-39630000,chr2:25960000-25961000,chr5:138847000-138849000,chr10:19894000-19898000,chr9:20443000-20476000
chr4:9785000-9787000,chr13:47721000-47726000,chr2:26024000-26026000,chr5:139676000-139678000,chr10:19899000-19905000,chr9:32451000-32510000
chr4:11628000-11634000,chr13:87471000-87473000,chr2:26028000-26029000,chr5:140861000-140862000,chr10:19918000-19972000,chr9:34244000-34246000
chr4:15075000-15077000,chr13:98172000-98175000,chr2:26280000-26288000,chr5:141823000-141824000,chr10:21522000-21526000,chr9:34260000-34267000
chr4:17780000-17782000,chr13:116791000-116809000,chr2:26404000-26406000,chr5:151456000-151458000,chr10:24472000-24523000,chr9:34287000-34290000
chr4:20868000-20870000,chr13:116835000-116841000,chr2:26408000-26411000,chr6:3460000-3464000,chr10:56068000-56081000,chr9:34295000-34305000
chr4:22020000-22024000,chr13:116872000-116881000,chr2:26425000-26427000,chr6:3958000-3962000,chr10:60437000-60456000,chr9:34311000-34319000
chr4:22566000-22593000,chr13:116902000-116909000,chr2:26458000-26461000,chr6:6526000-6527000,chr10:60606000-60624000,chr9:34329000-34334000
chr4:32566000-32570000,chr13:116939000-116945000,chr2:26693000-26694000,chr6:8128000-8131000,chr10:60663000-60665000,chr9:34349000-34356000
chr4:33411000-33413000,chr13:117125000-117134000,chr2:26735000-26736000,chr6:8461000-8466000,chr10:60815000-60821000,chr9:34396000-34403000
chr4:34378000-34379000,chr13:119073000-119076000,chr2:26756000-26757000,chr6:9101000-9102000,chr10:62202000-62287000,chr9:34432000-34443000
chr4:41285000-41288000,chr13:119308000-119309000,chr2:26963000-26965000,chr6:9108000-9110000,chr10:75081000-75085000,chr9:34452000-34457000
chr4:41684000-41690000,chr13:119510000-119526000,chr2:27327000-27330000,chr6:10920000-10921000,chr10:75368000-75373000,chr9:34507000-34510000
chr4:41707000-41712000,chr13:119705000-119708000,chr2:27339000-27340000,chr6:13626000-13627000,chr10:75380000-75385000,chr9:34553000-34557000
chr4:41822000-41829000,chr14:11188000-11204000,chr2:27498000-27499000,chr6:15134000-15138000,chr10:76495000-76545000,chr9:34663000-34667000
chr4:43391000-43394000,chr14:32431000-32444000,chr2:27561000-27563000,chr6:16162000-16164000,chr10:76553000-76558000,chr9:34691000-34698000
chr4:43444000-43450000,chr14:36156000-36166000,chr2:28064000-28065000,chr6:17120000-17122000,chr10:76561000-76589000,chr9:34706000-34720000
chr4:43474000-43477000,chr14:36238000-36243000,chr2:28287000-28289000,chr6:18396000-18399000,chr10:76591000-76608000,chr9:34740000-34755000
chr4:43544000-43547000,chr14:36392000-36396000,chr2:28301000-28302000,chr6:21169000-21170000,chr10:77391000-77412000,chr9:34758000-34767000
chr4:43652000-43656000,chr14:38078000-38079000,chr2:28334000-28336000,chr6:21176000-21178000,chr10:77433000-77443000,chr9:34770000-34784000
chr4:44128000-44132000,chr14:38113000-38116000,chr2:28429000-28430000,chr6:21252000-21253000,chr10:77454000-77470000,chr9:36599000-36603000
chr4:45206000-45207000,chr14:38181000-38184000,chr2:28433000-28436000,chr6:21721000-21722000,chr10:77473000-77484000,chr9:36607000-36630000
chr4:45667000-45679000,chr14:43973000-43976000,chr2:28460000-28461000,chr6:22743000-22748000,chr10:78930000-78935000,chr9:40772000-40783000
chr4:45759000-45761000,chr14:48819000-48823000,chr2:28522000-28523000,chr6:22784000-22789000,chr10:79109000-79113000,chr9:40788000-40800000
chr4:45993000-45995000,chr14:62052000-62065000,chr2:28730000-28734000,chr6:22826000-22830000,chr10:79410000-79415000,chr9:41335000-41346000
chr4:46001000-46003000,chr14:62342000-62356000,chr2:28737000-28740000,chr6:22858000-22861000,chr10:79424000-79435000,chr9:49265000-49286000
chr4:46054000-46060000,chr14:62408000-62426000,chr2:28796000-28797000,chr6:29738000-29740000,chr10:79922000-79926000,chr9:49290000-49318000
chr4:46206000-46207000,chr14:62437000-62449000,chr2:28876000-28877000,chr6:33361000-33363000,chr10:80904000-80910000,chr9:49437000-49438000
chr4:46370000-46380000,chr14:65637000-65649000,chr2:28898000-28899000,chr6:33450000-33451000,chr10:81026000-81029000,chr9:49453000-49461000
chr4:46634000-46636000,chr14:67883000-67886000,chr2:29016000-29018000,chr6:33494000-33495000,chr10:94835000-94842000,chr9:53356000-53358000
chr4:46827000-46829000,chr14:72357000-72378000,chr2:29071000-29073000,chr6:33766000-33769000,chr10:94872000-94876000,chr9:54408000-54456000
chr4:46834000-46836000,chr14:73329000-73332000,chr2:29449000-29456000,chr6:34548000-34549000,chr10:107741000-107750000,chr9:56818000-56839000
chr4:47073000-47081000,chr14:76558000-76567000,chr2:29462000-29468000,chr6:34590000-34591000,chr10:107760000-107782000,chr9:68353000-68359000
chr4:47258000-47260000,chr14:87353000-87356000,chr2:29513000-29515000,chr6:36039000-36041000,chr10:107783000-107793000,chr9:70504000-70513000
chr4:48060000-48075000,chr14:87413000-87414000,chr2:29552000-29554000,chr6:36686000-36687000,chr10:107814000-107821000,chr9:70521000-70527000
chr4:49080000-49084000,chr14:89374000-89378000,chr2:29555000-29556000,chr6:36725000-36727000,chr10:110326000-110341000,chr9:71649000-71653000
chr4:49865000-49868000,chr14:91052000-91055000,chr2:29557000-29558000,chr6:36737000-36742000,chr10:119497000-119515000,chr9:71658000-71692000
chr4:53900000-53901000,chr14:91462000-91465000,chr2:29567000-29570000,chr6:36748000-36752000,chr10:126606000-126613000,chr9:71720000-71724000
chr4:55670000-55675000,chr14:92797000-92799000,chr2:29572000-29575000,chr6:37004000-37005000,chr10:126644000-126646000,chr9:71725000-71734000
chr4:57528000-57529000,chr14:92921000-92924000,chr2:29655000-29660000,chr6:37155000-37156000,chr10:126649000-126651000,chr9:71740000-71750000
chr4:57660000-57664000,chr14:95605000-95612000,chr2:29667000-29669000,chr6:37176000-37177000,chr10:126732000-126742000,chr9:71851000-71860000
chr4:58299000-58305000,chr14:95874000-95876000,chr2:29691000-29693000,chr6:39485000-39486000,chr10:127922000-127926000,chr9:71864000-71869000
chr4:59005000-59008000,chr14:97686000-97700000,chr2:29711000-29714000,chr6:47387000-47388000,chr10:127972000-127987000,chr9:71887000-71906000
chr4:59038000-59040000,chr14:100186000-100192000,chr2:29787000-29788000,chr6:47522000-47523000,chr11:3245000-3261000,chr9:80042000-80046000
chr4:59532000-59534000,chr14:103165000-103173000,chr2:29869000-29871000,chr6:48637000-48638000,chr11:3281000-3307000,chr9:80060000-80064000
chr4:60008000-60009000,chr14:122086000-122099000,chr2:29899000-29903000,chr6:48769000-48772000,chr11:4777000-4793000,chr9:80086000-80098000
chr4:61770000-61772000,chr14:122101000-122107000,chr2:29913000-29916000,chr6:50610000-50612000,chr11:4842000-4846000,chr9:87502000-87507000
chr4:62161000-62164000,chr14:122176000-122178000,chr2:29993000-29997000,chr6:50712000-50713000,chr11:5733000-5735000,chr9:87509000-87515000
chr4:62981000-62982000,chr14:122288000-122291000,chr2:30072000-30076000,chr6:51397000-51398000,chr11:6790000-6793000,chr9:87519000-87526000
chr4:64727000-64732000,chr14:122328000-122363000,chr2:30179000-30182000,chr6:51401000-51402000,chr11:8371000-8424000,chr9:96746000-96795000
chr4:65888000-65893000,chr14:122373000-122382000,chr2:30218000-30219000,chr6:51938000-51941000,chr11:8430000-8500000,chr9:96800000-96808000
chr4:70019000-70021000,chr14:122385000-122397000,chr2:30296000-30299000,chr6:52104000-52105000,chr11:9023000-9037000,chr9:96815000-96822000
chr4:73262000-73263000,chr14:122456000-122461000,chr2:30333000-30334000,chr6:52605000-52606000,chr11:11829000-11882000,chr9:100994000-100998000
chr4:73484000-73486000,chr15:5366000-5368000,chr2:30356000-30358000,chr6:53503000-53507000,chr11:12137000-12171000,chr9:101066000-101072000
chr4:75920000-75923000,chr15:5847000-5849000,chr2:30368000-30371000,chr6:53513000-53514000,chr11:12202000-12217000,chr9:115936000-115957000
chr4:82003000-82012000,chr15:5878000-5888000,chr2:30427000-30428000,chr6:53970000-53972000,chr11:12236000-12301000,chr9:115974000-115997000
chr4:84984000-84988000,chr15:6048000-6054000,chr2:30429000-30430000,chr6:54483000-54484000,chr11:12326000-12351000,chr9:116002000-116021000
chr4:86703000-86704000,chr15:6066000-6077000,chr2:30498000-30499000,chr6:54485000-54487000,chr11:12355000-12363000,chr9:116562000-116569000
chr4:87502000-87505000,chr15:7684000-7686000,chr2:30508000-30510000,chr6:54748000-54749000,chr11:22734000-22748000,chr9:116899000-116908000
chr4:88742000-88755000,chr15:9421000-9422000,chr2:30534000-30536000,chr6:55375000-55376000,chr11:33118000-33121000,chr9:116951000-116961000
chr4:88759000-88783000,chr15:9622000-9629000,chr2:30547000-30548000,chr6:55383000-55384000,chr11:33127000-33128000,chr9:116985000-116995000
chr4:90864000-90865000,chr15:10842000-10858000,chr2:30580000-30581000,chr6:56289000-56291000,chr11:33212000-33214000,chr9:117026000-117029000
chr4:94542000-94544000,chr15:11410000-11416000,chr2:30593000-30595000,chr6:56486000-56488000,chr11:33371000-33372000,chr9:117037000-117049000
chr4:97238000-97251000,chr15:11460000-11463000,chr2:30606000-30608000,chr6:59142000-59143000,chr11:33378000-33413000,chr9:117059000-117096000
chr4:97266000-97273000,chr15:11533000-11543000,chr2:30623000-30625000,chr6:59192000-59193000,chr11:33439000-33443000,chr9:118466000-118472000
chr4:100274000-100279000,chr15:11583000-11589000,chr2:30638000-30640000,chr6:59340000-59343000,chr11:33454000-33457000,chr9:118480000-118500000
chr4:100790000-100793000,chr15:11601000-11619000,chr2:30641000-30642000,chr6:60687000-60688000,chr11:33473000-33478000,chr9:118510000-118572000
chr4:102257000-102260000,chr15:11717000-11722000,chr2:30658000-30660000,chr6:65792000-65794000,chr11:50082000-50089000,chr9:118583000-118594000
chr4:102475000-102478000,chr15:11770000-11773000,chr2:30667000-30668000,chr6:66330000-66333000,chr11:51055000-51063000,chr9:118625000-118638000
chr4:103863000-103867000,chr15:11799000-11803000,chr2:30686000-30688000,chr6:67198000-67199000,chr11:51485000-51492000,chr9:118646000-118667000
chr4:105950000-105963000,chr15:13924000-13931000,chr2:30724000-30726000,chr6:71425000-71428000,chr11:51497000-51503000,chr9:118678000-118749000
chr4:106120000-106122000,chr15:13999000-14001000,chr2:30750000-30753000,chr6:86372000-86373000,chr11:54770000-54776000,chr9:118876000-118891000
chr4:106302000-106303000,chr15:14583000-14587000,chr2:30760000-30762000,chr6:86816000-86818000,chr11:54782000-54786000,chrX:12690000-12696000
chr4:106932000-106939000,chr15:19417000-19418000,chr2:30807000-30808000,chr6:90500000-90501000,chr11:54790000-54796000,chrX:12708000-12710000
chr4:106956000-106959000,chr15:21631000-21634000,chr2:30882000-30885000,chr6:93107000-93108000,chr11:55293000-55299000,chrX:19227000-19230000
chr4:107170000-107185000,chr15:22143000-22148000,chr2:30904000-30905000,chr6:93155000-93156000,chr11:61504000-61522000,chrX:19257000-19260000
chr4:107343000-107346000,chr15:22174000-22178000,chr2:30916000-30918000,chr6:93758000-93759000,chr11:64873000-64882000,chrX:19288000-19289000
chr4:107527000-107533000,chr15:24352000-24353000,chr2:30948000-30954000,chr6:95225000-95227000,chr11:68212000-68215000,chrX:22939000-22942000
chr4:107880000-107882000,chr15:26139000-26143000,chr2:30957000-30959000,chr6:102999000-103001000,chr11:69382000-69390000,chrX:32787000-32790000
chr4:108377000-108381000,chr15:26214000-26222000,chr2:30982000-30989000,chr6:103480000-103486000,chr11:69399000-69406000,chrX:67378000-67383000
chr4:108892000-108894000,chr15:26260000-26276000,chr2:30990000-30991000,chr6:103524000-103526000,chr11:69456000-69468000,chrX:67390000-67393000
chr4:108903000-108912000,chr15:31035000-31038000,chr2:31081000-31082000,chr6:103575000-103576000,chr11:69486000-69495000,chrX:67408000-67411000
chr4:109154000-109164000,chr15:31895000-31898000,chr2:31127000-31129000,chr6:103588000-103591000,chr11:69504000-69511000,chrX:91280000-91285000
chr4:109468000-109486000,chr15:33129000-33130000,chr2:31131000-31132000,chr6:103614000-103616000,chr11:69550000-69573000,chrX:91312000-91317000
chr4:114146000-114150000,chr15:33229000-33234000,chr2:31136000-31137000,chr6:103635000-103636000,chr11:72211000-72222000,chrX:99905000-99910000
chr4:114164000-114166000,chr15:42825000-42828000,chr2:31275000-31278000,chr6:103640000-103642000,chr11:74439000-74442000,chrX:101577000-101583000
chr4:114317000-114321000,chr15:43228000-43235000,chr2:31281000-31283000,chr6:103674000-103677000,chr11:74446000-74448000,chrX:105316000-105319000
chr4:114402000-114415000,chr15:43762000-43767000,chr2:31291000-31295000,chr6:103775000-103777000,chr11:75378000-75383000,chrX:105357000-105365000
chr4:114420000-114428000,chr15:46116000-46118000,chr2:31334000-31337000,chr6:107497000-107500000,chr11:76084000-76105000,chrX:116516000-116518000
chr4:114554000-114562000,chr15:48593000-48602000,chr2:31457000-31465000,chr6:111102000-111105000,chr11:79507000-79510000,chrX:129239000-129242000
chr4:115373000-115384000,chr15:49180000-49183000,chr2:31475000-31478000,chr6:113046000-113048000,chr11:84777000-84780000,chrX:140720000-140723000
chr4:115388000-115392000,chr15:49375000-49378000,chr2:31632000-31633000,chr6:113060000-113062000,chr11:88818000-88838000,chrX:161695000-161708000
chr4:115394000-115400000,chr15:52223000-52237000,chr2:31667000-31668000,chr6:113064000-113067000,chr11:88854000-88874000,chrX:161712000-161731000
chr4:115414000-115420000,chr15:54261000-54262000,chr2:31709000-31710000,chr6:114249000-114250000,chr11:90477000-90481000,chr10:6965000-6973000
chr4:115430000-115435000,chr15:54312000-54316000,chr2:31726000-31729000,chr6:114680000-114681000,chr11:90489000-90502000,chr10:14153000-14158000
chr4:115459000-115479000,chr15:64346000-64352000,chr2:31895000-31897000,chr6:114885000-114888000,chr11:94863000-94891000,chr10:18223000-18227000
chr4:115515000-115516000,chr15:67075000-67082000,chr2:31900000-31907000,chr6:116001000-116002000,chr11:95676000-95679000,chr10:26536000-26557000
chr4:117420000-117429000,chr15:73917000-73921000,chr2:31931000-31933000,chr6:120738000-120742000,chr11:95774000-95819000,chr10:26569000-26573000
chr4:117810000-117813000,chr15:83078000-83080000,chr2:31956000-31957000,chr6:124285000-124289000,chr11:96728000-96732000,chr10:28883000-28898000
chr4:118076000-118082000,chr15:87935000-87940000,chr2:31976000-32005000,chr6:127113000-127114000,chr11:97423000-97441000,chr10:28912000-28919000
chr4:118085000-118088000,chr15:94622000-94630000,chr2:32035000-32038000,chr6:128958000-128960000,chr11:97504000-97512000,chr10:31181000-31184000
chr4:118990000-118996000,chr15:97419000-97422000,chr2:32133000-32135000,chr6:129290000-129294000,chr11:97791000-97793000,chr10:31186000-31194000
chr4:118997000-119000000,chr15:101444000-101449000,chr2:32140000-32141000,chr6:129445000-129447000,chr11:98267000-98273000,chr10:39064000-39066000
chr4:119592000-119596000,chr15:102641000-102664000,chr2:32171000-32176000,chr6:134888000-134892000,chr11:100165000-100168000,chr10:39085000-39097000
chr4:119763000-119768000,chr15:102676000-102716000,chr2:32183000-32184000,chr6:136484000-136485000,chr11:101451000-101453000,chr10:39170000-39177000
chr4:120033000-120034000,chr15:102720000-102732000,chr2:32274000-32277000,chr6:137611000-137612000,chr11:104984000-104986000,chr10:39201000-39203000
chr4:120145000-120149000,chr16:16723000-16725000,chr2:32317000-32318000,chr6:138171000-138172000,chr11:106488000-106537000,chr10:39210000-39222000
chr4:120167000-120169000,chr16:33855000-33860000,chr2:32346000-32347000,chr6:138384000-138386000,chr11:113542000-113564000,chr10:39233000-39250000
chr4:120195000-120197000,chr16:37034000-37037000,chr2:32357000-32360000,chr6:140443000-140444000,chr11:115650000-115673000,chr10:39255000-39261000
chr4:120229000-120250000,chr16:37048000-37065000,chr2:32397000-32399000,chr6:140445000-140446000,chr11:116414000-116427000,chr10:39431000-39445000
chr4:120535000-120538000,chr16:37068000-37073000,chr2:32403000-32406000,chr6:144137000-144139000,chr11:116435000-116437000,chr10:39462000-39469000
chr4:122451000-122455000,chr16:37077000-37080000,chr2:32428000-32435000,chr6:144164000-144167000,chr11:116739000-116753000,chr10:39473000-39487000
chr4:122459000-122468000,chr16:37091000-37099000,chr2:32449000-32453000,chr6:146438000-146439000,chr11:116763000-116768000,chr10:39559000-39567000
chr4:122607000-122609000,chr16:37106000-37116000,chr2:32468000-32470000,chr7:46854000-46856000,chr11:116790000-116803000,chr10:42847000-42849000
chr4:122618000-122619000,chr16:37128000-37137000,chr2:32476000-32477000,chr7:46874000-46875000,chr11:117590000-117594000,chr10:57420000-57429000
chr4:122690000-122700000,chr16:37153000-37158000,chr2:32503000-32504000,chr7:51707000-51709000,chr11:117782000-117785000,chr10:57475000-57502000
chr4:122702000-122707000,chr16:37169000-37171000,chr2:32513000-32517000,chr7:59098000-59099000,chr11:118295000-118303000,chr10:67637000-67639000
chr4:122733000-122745000,chr16:37173000-37177000,chr2:32522000-32526000,chr7:61820000-61821000,chr12:3418000-3422000,chr10:70337000-70348000
chr4:122825000-122827000,chr16:37180000-37184000,chr2:32530000-32531000,chr7:61859000-61863000,chr12:4143000-4147000,chr10:80980000-80992000
chr4:123492000-123494000,chr16:37192000-37194000,chr2:32536000-32537000,chr7:62293000-62297000,chr12:12809000-12816000,chr10:82936000-82959000
chr4:123680000-123683000,chr16:37198000-37214000,chr2:32550000-32551000,chr7:65247000-65249000,chr12:12914000-12927000,chr10:84190000-84223000
chr4:123691000-123693000,chr16:37237000-37240000,chr2:32563000-32565000,chr7:65267000-65268000,chr12:12962000-12966000,chr10:84227000-84339000
chr4:123779000-123781000,chr16:37257000-37260000,chr2:32573000-32574000,chr7:67249000-67250000,chr12:25191000-25204000,chr10:93075000-93090000
chr4:123967000-123968000,chr16:37282000-37327000,chr2:32586000-32587000,chr7:67828000-67829000,chr12:29263000-29267000,chr10:93104000-93108000
chr4:124075000-124079000,chr16:37373000-37378000,chr2:32593000-32595000,chr7:69314000-69315000,chr12:31857000-31890000,chr10:93114000-93121000
chr4:124158000-124170000,chr16:51855000-51861000,chr2:32674000-32675000,chr7:73412000-73414000,chr12:31898000-31905000,chr10:93140000-93156000
chr4:124387000-124389000,chr16:93131000-93139000,chr2:32681000-32684000,chr7:73427000-73431000,chr12:33413000-33426000,chr10:93168000-93172000
chr4:124785000-124787000,chr16:94333000-94340000,chr2:32697000-32705000,chr7:74328000-74331000,chr12:33428000-33431000,chr10:93174000-93178000
chr4:124789000-124790000,chr17:15694000-15698000,chr2:32730000-32731000,chr7:74581000-74584000,chr12:36091000-36099000,chr10:95420000-95434000
chr4:124814000-124821000,chr17:20698000-20700000,chr2:32745000-32747000,chr7:75085000-75087000,chr12:36107000-36108000,chr10:95445000-95452000
chr4:125782000-125792000,chr17:24542000-24564000,chr2:32751000-32753000,chr7:76109000-76110000,chr12:51903000-51912000,chr10:95464000-95478000
chr4:125795000-125806000,chr17:31484000-31495000,chr2:32767000-32769000,chr7:76421000-76423000,chr12:52925000-52927000,chr10:99481000-99501000
chr4:125824000-125828000,chr17:31497000-31505000,chr2:32785000-32787000,chr7:77005000-77009000,chr12:55101000-55124000,chr10:99513000-99528000
chr4:126035000-126037000,chr17:31756000-31758000,chr2:32805000-32806000,chr7:79540000-79541000,chr12:56260000-56262000,chr10:104617000-104627000
chr4:126120000-126124000,chr17:41196000-41200000,chr2:32829000-32830000,chr7:82272000-82273000,chr12:73666000-73675000,chr10:104704000-104712000
chr4:126235000-126241000,chr17:51424000-51427000,chr2:32981000-32983000,chr7:82331000-82333000,chr12:77148000-77153000,chr10:104814000-104819000
chr4:126758000-126761000,chr17:51479000-51482000,chr2:33038000-33040000,chr7:83078000-83079000,chr12:77176000-77178000,chr10:104826000-104827000
chr4:127471000-127476000,chr17:53754000-53763000,chr2:33261000-33262000,chr7:84555000-84557000,chr12:77181000-77237000,chr10:104879000-104885000
chr4:127487000-127492000,chr17:55345000-55347000,chr2:33365000-33367000,chr7:87286000-87287000,chr12:77365000-77373000,chr10:104903000-104913000
chr4:128118000-128120000,chr17:56492000-56499000,chr2:33403000-33404000,chr7:87460000-87465000,chr12:77469000-77472000,chr10:104941000-104946000
chr4:128132000-128133000,chr17:56747000-56751000,chr2:33438000-33439000,chr7:87486000-87488000,chr12:77491000-77497000,chr10:104972000-104976000
chr4:128300000-128309000,chr17:62970000-62979000,chr2:33452000-33456000,chr7:87554000-87556000,chr12:77730000-77736000,chr10:109083000-109089000
chr4:128384000-128388000,chr17:67660000-67661000,chr2:33457000-33462000,chr7:87585000-87586000,chr12:81038000-81044000,chr10:109093000-109114000
chr4:128606000-128613000,chr17:89204000-89209000,chr2:33464000-33468000,chr7:87591000-87593000,chr12:81642000-81645000,chr10:109116000-109175000
chr4:128788000-128792000,chr17:92663000-92665000,chr2:33649000-33650000,chr7:87638000-87642000,chr12:81940000-81943000,chr10:109196000-109199000
chr4:128993000-128995000,chr18:8043000-8051000,chr2:34460000-34465000,chr7:87799000-87802000,chr12:82641000-82664000,chr10:109203000-109231000
chr4:129274000-129276000,chr18:8053000-8056000,chr2:34466000-34469000,chr7:90320000-90323000,chr12:82679000-82689000,chr10:109234000-109240000
chr4:129466000-129471000,chr18:8060000-8064000,chr2:34490000-34491000,chr7:92859000-92861000,chr12:82691000-82698000,chr10:109243000-109254000
chr4:129482000-129502000,chr18:21830000-21836000,chr2:34493000-34495000,chr7:92882000-92884000,chr12:84416000-84425000,chr10:109257000-109269000
chr4:129507000-129519000,chr18:27273000-27275000,chr2:34696000-34697000,chr7:92917000-92921000,chr12:85491000-85499000,chr10:109272000-109286000
chr4:129565000-129568000,chr18:40538000-40542000,chr2:34763000-34766000,chr7:92936000-92938000,chr12:86124000-86137000,chr10:109304000-109308000
chr4:129579000-129604000,chr18:40959000-40963000,chr2:34767000-34768000,chr7:92957000-92961000,chr12:86146000-86159000,chr10:109314000-109317000
chr4:129664000-129672000,chr18:43886000-43892000,chr2:34783000-34784000,chr7:92985000-92988000,chr12:87335000-87341000,chr10:109324000-109332000
chr4:130062000-130073000,chr18:43899000-43911000,chr2:35078000-35079000,chr7:97029000-97033000,chr12:87346000-87353000,chr10:109356000-109360000
chr4:130754000-130755000,chr18:43973000-43979000,chr2:35089000-35092000,chr7:97262000-97263000,chr12:87361000-87415000,chr10:109366000-109376000
chr4:131091000-131094000,chr18:43993000-43996000,chr2:35104000-35105000,chr7:98180000-98183000,chr12:92044000-92054000,chr10:109386000-109390000
chr4:131186000-131197000,chr18:44010000-44014000,chr2:35266000-35269000,chr7:100483000-100484000,chr12:92073000-92082000,chr10:109396000-109403000
chr4:131385000-131387000,chr18:44047000-44054000,chr2:35282000-35286000,chr7:101016000-101018000,chr12:101378000-101387000,chr10:115823000-115825000
chr4:132065000-132069000,chr18:44088000-44092000,chr2:35310000-35314000,chr7:101327000-101328000,chr12:102823000-102827000,chr10:115843000-115850000
chr4:132484000-132487000,chr18:44099000-44105000,chr2:35403000-35406000,chr7:107457000-107459000,chr12:102964000-103091000,chr10:115859000-115868000
chr4:132527000-132531000,chr18:44112000-44115000,chr2:35432000-35440000,chr7:108900000-108901000,chr12:103095000-103103000,chr10:119773000-119777000
chr4:133519000-133527000,chr18:44125000-44146000,chr2:35463000-35467000,chr7:109747000-109750000,chr12:109249000-109258000,chr10:119788000-119791000
chr4:133615000-133616000,chr18:44198000-44202000,chr2:35833000-35834000,chr7:110014000-110015000,chr12:109345000-109352000,chr10:119796000-119835000
chr4:133642000-133645000,chr18:44214000-44221000,chr2:35912000-35914000,chr7:110206000-110208000,chr12:109993000-110197000,chr10:119839000-119876000
chr4:133975000-133976000,chr18:44242000-44249000,chr2:35915000-35917000,chr7:110340000-110341000,chr12:110896000-110926000,chr11:5876000-5900000
chr4:134252000-134253000,chr18:44396000-44400000,chr2:35924000-35926000,chr7:110876000-110878000,chr12:110954000-110960000,chr11:5901000-5905000
chr4:134370000-134373000,chr18:50531000-50534000,chr2:36024000-36026000,chr7:111567000-111568000,chr12:110980000-111001000,chr11:5913000-5929000
chr4:134411000-134413000,chr18:52288000-52290000,chr2:36052000-36053000,chr7:111569000-111570000,chr12:111066000-111071000,chr11:5943000-5945000
chr4:134420000-134428000,chr18:52354000-52357000,chr2:37587000-37589000,chr7:111816000-111817000,chr12:111100000-111110000,chr11:5956000-5961000
chr4:134444000-134453000,chr18:52477000-52483000,chr2:37598000-37599000,chr7:111828000-111829000,chr12:111256000-111282000,chr11:16654000-16728000
chr4:134477000-134479000,chr18:62429000-62434000,chr2:37602000-37603000,chr7:114208000-114213000,chr12:112611000-112613000,chr11:16733000-16741000
chr4:135347000-135363000,chr18:62463000-62484000,chr2:37608000-37610000,chr7:114589000-114591000,chr12:113055000-113061000,chr11:16758000-16821000
chr4:135368000-135378000,chr18:62522000-62531000,chr2:37612000-37613000,chr7:115401000-115402000,chr12:113172000-113193000,chr11:18869000-18914000
chr4:135397000-135424000,chr18:62550000-62567000,chr2:37615000-37616000,chr7:115406000-115408000,chr12:113353000-113371000,chr11:21055000-21060000
chr4:135561000-135564000,chr18:62984000-62999000,chr2:38109000-38110000,chr7:115413000-115417000,chr12:118188000-118199000,chr11:29356000-29377000
chr4:135902000-135905000,chr18:70371000-70373000,chr2:38176000-38180000,chr7:115452000-115453000,chr13:3479000-3483000,chr11:29383000-29394000
chr4:135909000-135912000,chr18:71226000-71233000,chr2:38201000-38202000,chr7:115456000-115465000,chr13:3888000-3889000,chr11:31775000-31804000
chr4:136026000-136029000,chr18:78704000-78725000,chr2:38246000-38248000,chr7:115513000-115514000,chr13:6582000-6605000,chr11:31809000-31837000
chr4:136566000-136569000,chr18:86772000-86776000,chr2:38342000-38343000,chr7:115615000-115618000,chr13:6613000-6647000,chr11:32265000-32300000
chr4:136937000-136940000,chr18:88410000-88414000,chr2:38346000-38347000,chr7:115819000-115821000,chr13:12326000-12329000,chr11:32301000-32302000
chr4:136952000-136954000,chr18:88594000-88595000,chr2:38368000-38370000,chr7:117173000-117178000,chr13:13263000-13272000,chr11:32305000-32328000
chr4:136969000-136972000,chr19:7759000-7765000,chr2:38373000-38374000,chr7:118685000-118687000,chr13:13274000-13283000,chr11:44840000-44845000
chr4:137134000-137137000,chr19:11700000-11704000,chr2:38376000-38378000,chr7:120643000-120644000,chr13:13289000-13304000,chr11:61596000-61604000
chr4:137264000-137266000,chr19:11887000-11888000,chr2:38490000-38495000,chr7:120768000-120769000,chr13:14424000-14436000,chr11:61616000-61618000
chr4:137523000-137530000,chr19:12099000-12108000,chr2:38511000-38513000,chr7:120827000-120828000,chr13:19531000-19536000,chr11:61625000-61640000
chr4:137535000-137538000,chr19:12156000-12161000,chr2:38518000-38520000,chr7:121489000-121491000,chr13:24749000-24754000,chr11:61646000-61654000
chr4:138345000-138347000,chr19:12463000-12465000,chr2:38531000-38535000,chr7:122767000-122768000,chr13:33932000-33942000,chr11:62530000-62532000
chr4:138355000-138356000,chr19:12597000-12601000,chr2:38753000-38755000,chr7:124498000-124500000,chr13:35779000-35784000,chr11:62650000-62659000
